zip_code,request_count,median_resolution_days,overdue_rate
33133,10616,4.63,0.27147701582516953
33125,9631,4.2,0.27899491226248574
33145,9261,4.75,0.25537199006586764
33127,8652,3.22,0.25115580212667593
33142,7551,3.87,0.2685736988478347
33135,7183,4.76,0.27565084226646247
33138,4860,3.72,0.2796296296296296
33126,4780,4.13,0.2560669456066946
33137,3943,3.12,0.25868627948262746
33130,3861,4.05,0.2955192955192955
33150,2858,3.9,0.2729181245626312
33134,2830,4.24,0.2508833922261484
33129,2409,4.95,0.29638854296388545
33144,2320,4.3,0.24612068965517242
33131,2038,1.58,0.31894013738959764
33136,1843,3.8,0.29137276180141075
33132,1292,2.0599999999999996,0.3065015479876161
33128,977,3.85,0.3203684749232344
33147,773,4.84,0.34928848641655885
33139,119,5.415,0.48739495798319327
33146,95,3.17,0.24210526315789474
0,12,0.25,0.0
33030,10,2.23,0.4
33101,7,12.445,0.2857142857142857
33185,7,0.49,0.8571428571428571
33033,7,1.36,0.5714285714285714
33179,7,0.86,0.2857142857142857
33156,6,4.385,0.16666666666666666
33141,6,0.43500000000000005,0.5
33056,6,16.134999999999998,0.16666666666666666
33149,6,4.4399999999999995,0.16666666666666666
33186,6,0.375,0.6666666666666666
33177,6,0.295,0.3333333333333333
33165,5,0.01,0.8
33015,5,0.02,0.2
33018,5,0.71,0.4
33157,4,0.305,0.25
33032,4,0.08499999999999999,0.0
33034,4,0.02,0.25
33054,4,0.125,0.5
33160,4,0.335,0.25
33055,4,56.989999999999995,0.25
33183,4,0.7250000000000001,0.25
33182,4,3.3449999999999998,0.5
33176,4,0.27,1.0
33167,3,1.93,0.3333333333333333
33168,3,0.005,0.0
33172,3,3.65,0.3333333333333333
33187,3,0.06,1.0
33180,2,1.065,0.0
33184,2,1.505,0.5
33190,2,1.195,1.0
33193,2,0.675,0.5
33196,2,0.6,1.0
33122,2,8.89,0.0
99999,2,0.0,0.5
33162,2,7.615,0.0
33031,2,0.765,1.0
33161,2,26.76,0.0
33143,2,7.5,0.0
33166,2,13.95,0.0
33014,2,7.51,0.0
33173,1,0.0,1.0
33013,1,0.0,0.0
33016,1,4.27,0.0
3331,1,7.09,1.0
33010,1,0.61,0.0
33012,1,1.57,1.0
33155,1,0.64,1.0
33181,1,0.02,1.0
33109,1,0.0,0.0
33178,1,3.24,0.0
33158,1,0.98,1.0
