case_owner,request_count,median_resolution_days,average_resolution_days,overdue_rate
Solid Waste,55737,4.02,13.604023024325862,0.2769793853275203
Resilience & Public Works,13373,8.23,22.563871522350734,0.10162267254916622
Code Compliance,10674,4.77,6.472714363735664,0.5789769533445756
Fire-Rescue,4247,0.0,0.0,0.0009418412997409936
Zoning,3461,1.98,36.5678277262181,0.2802658191274198
Building,448,0.0,3.8344591029023745,0.0
NET,105,0.12,0.3957894736842105,0.0
Police,33,0.03,0.2570588235294118,0.0
